t0,t1,t2,t3,t4,t5 ,x,y,z
0.18218,1.9648,-1.7899,-0.00042976,0,0,0.1404451999347147,0.02587318165009085,0.12
0.25607,1.9594,-1.7862,0.0012483,0,0,0.13867038831536954,0.03630637583140197,0.12
0.25607,1.9594,-1.7862,0.0012483,0,0,0.13867038831536954,0.03630637583140197,0.12
0.47271,2.0083,-1.8189,-0.014835,0,0,0.12331419844251398,0.06306039811184297,0.12
0.57267,2.0217,-1.8276,-0.019544,0,0,0.115295429355916,0.07433580145575264,0.12
0.59076,2.0245,-1.8294,-0.020553,0,0,0.11370290610258114,0.07625564056335538,0.12
0.65036,2.033,-1.8348,-0.023664,0,0,0.10829241293430907,0.08238590082150012,0.12
-0.0077074,1.9211,-1.7591,0.012578,0,0,0.14714174699894958,-0.0011341027576609575,0.12
-0.32399,1.4277,-1.3069,0.053719,0,0,0.18622527711742157,-0.06253881861989506,0.12
-0.27436,1.4228,-1.3014,0.05314,0,0,0.18955632612199924,-0.05335210483041921,0.12
-0.26187,1.4192,-1.2974,0.052707,0,0,0.1905462445813278,-0.05107113353654033,0.12
-0.26187,1.4192,-1.2974,0.052707,0,0,0.1905462445813278,-0.05107113353654033,0.12
-0.42404,1.722,-1.6002,0.052758,0,0,0.15230678571152326,-0.06875539781166523,0.12
-0.5284,1.8087,-1.6733,0.03913,0,0,0.1367853507175099,-0.07985114941278657,0.12
-0.60249,1.8638,-1.7166,0.027363,0,0,0.12594899910768936,-0.08662753027865039,0.12
-0.65167,1.8883,-1.7351,0.02136,0,0,0.11959177189303083,-0.09122972955938016,0.12
-0.65167,1.8883,-1.7351,0.02136,0,0,0.11959177189303083,-0.09122972955938016,0.12
-0.46712,2.0451,-1.8424,-0.028151,0,0,0.12042809146488978,-0.060737673733639766,0.12
0.16956,2.1843,-1.922,-0.08783,0,0,0.11953508925802181,0.02046487242570359,0.12
0.28079,2.1567,-1.9074,-0.074837,0,0,0.11910583450269888,0.03435129507497418,0.12
0.32232,2.1429,-1.8998,-0.068534,0,0,0.11884922176212086,0.03969161950170334,0.12
0.36534,2.1244,-1.8895,-0.060349,0,0,0.11871855076308922,0.04541124120113255,0.12
0.33519,2.2239,-1.942,-0.10745,0,0,0.110894247540165,0.03862825398153872,0.12
0.273,2.3097,-1.9812,-0.15395,0,0,0.10506915189911457,0.029418376417221833,0.12
0.26005,2.3285,-1.9891,-0.16487,0,0,0.10368197104684207,0.02758718882498106,0.12
0.20551,2.3845,-2.011,-0.19894,0,0,0.09971219505875877,0.020785298361902335,0.12
0.11319,2.3439,-1.9954,-0.17401,0,0,0.10512175007224103,0.011949808085171154,0.12
0.44241,1.8683,-1.7201,0.026279,0,0,0.1377420891490831,0.06525228658797771,0.12
0.56602,1.6446,-1.5299,0.05981,0,0,0.14762316437213396,0.09379498515623773,0.12
0.59451,1.56,-1.4475,0.061972,0,0,0.1519202375999339,0.10271438601403182,0.12
0.59451,1.56,-1.4475,0.061972,0,0,0.1519202375999339,0.10271438601403182,0.12
0.62648,1.472,-1.3556,0.058063,0,0,0.15563057458750051,0.11263564361299869,0.12
0.55256,1.914,-1.754,0.014546,0,0,0.12585086215404023,0.07760380185691024,0.12
-0.18914,2.1122,-1.8826,-0.055083,0,0,0.12601254339657703,-0.024122351343200028,0.12
-0.33953,1.8914,-1.7375,0.020543,0,0,0.14154028505196214,-0.04999318292831118,0.12
-0.39879,1.7693,-1.6408,0.046068,0,0,0.14960648294087808,-0.06303933286926104,0.12
-0.41473,1.7388,-1.6149,0.050581,0,0,0.15139379987582513,-0.06665359547940376,0.12
-0.42899,1.6983,-1.5792,0.055427,0,0,0.15413576220883332,-0.07050156700024739,0.12
-0.2327,1.5846,-1.472,0.061942,0,0,0.17604643776797163,-0.041721807457662366,0.12
-0.11718,1.5097,-1.3957,0.060506,0,0,0.18709777385086487,-0.022025019174483934,0.12
-0.080486,1.487,-1.3717,0.059172,0,0,0.19001847326780338,-0.015326937088001516,0.12
-0.080486,1.487,-1.3717,0.059172,0,0,0.19001847326780338,-0.015326937088001516,0.12
-0.080486,1.487,-1.3717,0.059172,0,0,0.19001847326780338,-0.015326937088001516,0.12
-0.16388,1.4681,-1.3513,0.057743,0,0,0.18991598599936643,-0.03140508159199539,0.12
-0.20189,1.4917,-1.3767,0.059482,0,0,0.18630883191781258,-0.038133403807313185,0.12
-0.23075,1.5085,-1.3944,0.060445,0,0,0.18351128325644947,-0.04311315337478497,0.12
-0.23075,1.5085,-1.3944,0.060445,0,0,0.18351128325644947,-0.04311315337478497,0.12
-0.17949,1.6428,-1.5282,0.059915,0,0,0.17226843830458574,-0.031256848900394346,0.12
0.28554,2.056,-1.8492,-0.032309,0,0,0.1283900509437692,0.03769044610601742,0.12
0.57456,2.1476,-1.9024,-0.070647,0,0,0.10479841796910959,0.06784868492236161,0.12
0.76502,2.129,-1.8921,-0.062351,0,0,0.09136756920499331,0.087717636374331,0.12
0.83879,2.1059,-1.8789,-0.052397,0,0,0.08616113275515973,0.09589044783818775,0.12
0.83879,2.1059,-1.8789,-0.052397,0,0,0.08616113275515973,0.09589044783818775,0.12
0.41867,2.5108,-2.0518,-0.28455,0,0,0.08176883473664534,0.03638535333715159,0.12
0.031556,2.621,-2.077,-0.36954,0,0,0.07839773505077928,0.002474740415072689,0.12
-0.17445,2.6381,-2.0799,-0.38362,0,0,0.07551195169401047,-0.013308338012086187,0.12
-0.30159,2.628,-2.0782,-0.3753,0,0,0.0742086126614165,-0.023084759847872078,0.12
-0.30159,2.628,-2.0782,-0.3753,0,0,0.0742086126614165,-0.023084759847872078,0.12
-0.58214,2.4717,-2.0405,-0.25674,0,0,0.07797415992297108,-0.05132503527063115,0.12
-0.62711,2.3278,-1.9888,-0.16442,0,0,0.08692918481942591,-0.06299737824529303,0.12
-0.65462,2.2494,-1.9542,-0.12071,0,0,0.0911910301713464,-0.06999094791410077,0.12
-0.65462,2.2494,-1.9542,-0.12071,0,0,0.0911910301713464,-0.06999094791410077,0.12
0.16718,2.2129,-1.9365,-0.10185,0,0,0.1168415628904616,0.019717612528258915,0.12
0.20733,1.6808,-1.5634,0.057108,0,0,0.16758934282405913,0.03525287545527362,0.12
0.011158,1.5802,-1.4676,0.061983,0,0,0.18135104722141795,0.002023598965600951,0.12
-0.059272,1.5341,-1.421,0.061472,0,0,0.18563806531271101,-0.0110160428399979,0.12
